,close,value
2008-08-29 00:00:00,,34.899999999999999
2008-09-05 00:00:00,,31.859999999999999
2008-09-12 00:00:00,,33.0
2008-09-19 00:00:00,,34.979999999999997
2008-09-26 00:00:00,,35.43
2008-10-03 00:00:00,,31.0
2008-10-10 00:00:00,,24.0
2008-10-17 00:00:00,,22.989999999999998
2008-10-24 00:00:00,,20.399999999999999
2008-10-31 00:00:00,,23.309999999999999
2008-11-07 00:00:00,,23.260000000000002
2008-11-14 00:00:00,,20.760000000000002
2008-11-21 00:00:00,,17.039999999999999
2008-11-28 00:00:00,,20.059999999999999
2008-12-05 00:00:00,,18.16
2008-12-12 00:00:00,,22.600000000000001
2008-12-19 00:00:00,,23.350000000000001
2008-12-26 00:00:00,,22.800000000000001
2009-01-02 00:00:00,,24.539999999999999
2009-01-09 00:00:00,,25.399999999999999
2009-01-16 00:00:00,,24.280000000000001
2009-01-23 00:00:00,,23.59
2009-01-30 00:00:00,,25.030000000000001
2009-02-06 00:00:00,,27.100000000000001
2009-02-13 00:00:00,,27.600000000000001
2009-02-20 00:00:00,,25.780000000000001
2009-02-27 00:00:00,,26.399999999999999
2009-03-06 00:00:00,,25.670000000000002
2009-03-13 00:00:00,,27.699999999999999
2009-03-20 00:00:00,,29.100000000000001
2009-03-27 00:00:00,,29.600000000000001
2009-04-03 00:00:00,,30.399999999999999
2009-04-10 00:00:00,,30.84
2009-04-17 00:00:00,,29.52
2009-04-24 00:00:00,,29.309999999999999
2009-05-01 00:00:00,,29.539999999999999
2009-05-08 00:00:00,,33.0
2009-05-15 00:00:00,,31.300000000000001
2009-05-22 00:00:00,,32.869999999999997
2009-05-29 00:00:00,,34.450000000000003
2009-06-05 00:00:00,,33.979999999999997
2009-06-12 00:00:00,,33.950000000000003
2009-06-19 00:00:00,,31.949999999999999
2009-06-26 00:00:00,,32.25
2009-07-03 00:00:00,,31.010000000000002
2009-07-10 00:00:00,,29.670000000000002
2009-07-17 00:00:00,,31.5
2009-07-24 00:00:00,,32.5
2009-07-31 00:00:00,,31.469999999999999
2009-08-07 00:00:00,,32.0
2009-08-14 00:00:00,,32.350000000000001
2009-08-21 00:00:00,,33.630000000000003
2009-08-28 00:00:00,,32.549999999999997
2009-09-04 00:00:00,,32.509999999999998
2009-09-11 00:00:00,,33.140000000000001
2009-09-18 00:00:00,,34.649999999999999
2009-09-25 00:00:00,,34.109999999999999
2009-10-02 00:00:00,,34.159999999999997
2009-10-09 00:00:00,,35.640000000000001
2009-10-16 00:00:00,,36.399999999999999
2009-10-23 00:00:00,,36.5
2009-10-30 00:00:00,,35.039999999999999
2009-11-06 00:00:00,,36.049999999999997
2009-11-13 00:00:00,,37.130000000000003
2009-11-20 00:00:00,,38.5
2009-11-27 00:00:00,,38.899999999999999
2009-12-04 00:00:00,,38.399999999999999
2009-12-11 00:00:00,,37.799999999999997
2009-12-18 00:00:00,,36.579999999999998
2009-12-25 00:00:00,,36.700000000000003
2010-01-01 00:00:00,,36.689999999999998
2010-01-08 00:00:00,,36.950000000000003
2010-01-15 00:00:00,,35.75
2010-01-22 00:00:00,,34.75
2010-01-29 00:00:00,,34.170000000000002
2010-02-05 00:00:00,,31.52
2010-02-12 00:00:00,,33.799999999999997
2010-02-19 00:00:00,,34.350000000000001
2010-02-26 00:00:00,,34.609999999999999
2010-03-05 00:00:00,,35.810000000000002
2010-03-12 00:00:00,,37.060000000000002
2010-03-19 00:00:00,,36.229999999999997
2010-03-26 00:00:00,,34.5
2010-04-02 00:00:00,,35.75
2010-04-09 00:00:00,,35.229999999999997
2010-04-16 00:00:00,,32.950000000000003
2010-04-23 00:00:00,,34.0
2010-04-30 00:00:00,,32.799999999999997
2010-05-07 00:00:00,,29.75
2010-05-14 00:00:00,,30.09
2010-05-21 00:00:00,,27.579999999999998
2010-05-28 00:00:00,,27.809999999999999
2010-06-04 00:00:00,,29.25
2010-06-11 00:00:00,,29.620000000000001
2010-06-18 00:00:00,,29.489999999999998
2010-06-25 00:00:00,,27.91
2010-07-02 00:00:00,,26.77
2010-07-09 00:00:00,,27.579999999999998
2010-07-16 00:00:00,,26.84
2010-07-23 00:00:00,,27.789999999999999
2010-07-30 00:00:00,,27.850000000000001
2010-08-06 00:00:00,,29.02
2010-08-13 00:00:00,,27.66
2010-08-20 00:00:00,,26.780000000000001
2010-08-27 00:00:00,,26.559999999999999
2010-09-03 00:00:00,,28.800000000000001
2010-09-10 00:00:00,,27.52
2010-09-17 00:00:00,,26.440000000000001
2010-09-24 00:00:00,,26.300000000000001
2010-10-01 00:00:00,,27.5
2010-10-08 00:00:00,,26.0
2010-10-15 00:00:00,,26.289999999999999
2010-10-22 00:00:00,,24.210000000000001
2010-10-29 00:00:00,,25.850000000000001
2010-11-05 00:00:00,,27.25
2010-11-12 00:00:00,,25.850000000000001
2010-11-19 00:00:00,,25.699999999999999
2010-11-26 00:00:00,,24.600000000000001
2010-12-03 00:00:00,,25.699999999999999
2010-12-10 00:00:00,,25.699999999999999
2010-12-17 00:00:00,,25.940000000000001
2010-12-24 00:00:00,,25.75
2010-12-31 00:00:00,,27.289999999999999
2011-01-07 00:00:00,,26.73
2011-01-14 00:00:00,,27.550000000000001
2011-01-21 00:00:00,,27.050000000000001
2011-01-28 00:00:00,,26.670000000000002
2011-02-04 00:00:00,,27.620000000000001
2011-02-11 00:00:00,,26.399999999999999
2011-02-18 00:00:00,,27.370000000000001
2011-02-25 00:00:00,,28.600000000000001
